紫雪,紫雪，用于热病，高热烦燥，神昏谵语，惊风抽搐，斑疹叶衄，尿赤便秘。
肿节风注射液,肿节风注射液，清热解毒，消肿散结。用于热毒壅盛所致肺炎、阑尾炎，蜂窝组织炎、菌痢、脓肿，与肿节风片联合用于消化道癌、胰腺癌、肝癌等肿瘤。
神农镇痛膏,神农镇痛膏，活血散瘀，消肿止痛。用于跌打损伤，风湿关节痛，腰背酸痛。
阿胶,阿胶是马科动物驴Equus asinus L.及其他驴皮经煎煮浓缩制成的固体胶。用蛤粉炒成珠者称阿胶珠。
二十五味珊瑚丸,二十五味珊瑚丸，开窍、通络、止痛。用于“白脉病”、神志不清，身体麻木、头晕目眩、脑部疼痛、血压不调，头痛，癫痫及各种神经性疼痛。
罗汉果止咳糖浆,罗汉果止咳糖浆，祛痰止咳。用于感冒咳嗽。
注射用氯化钾,注射用氯化钾（Potassium Chloride for Injection），商品名欣健聚。(1)治疗各种原因引起的低钾血症，如进食不足、呕吐、严重腹泻、应用排钾性利尿药、低钾性家族周期性麻痹、长期应用糖皮质激素和补充高渗葡萄糖后引起的低钾血症等。(2)预防低钾血症，当患者存在失钾情况，尤其是如果发生低钾血症对患者危害较大时(如使用洋地黄类药物的患者)，需预防性补充钾盐，如进食很少、严重或慢性腹泻、长期服用肾上腺皮质激素、失钾性肾病、Bartter综合征等(3)洋地黄中毒引起频发性、多源性早搏或快速心律失常。
复方甘草酸苷片,复方甘草酸苷片（Compound Glycyrrhizin Tablets），商品名美能、美能(复方甘草甜素)。治疗慢性肝病，改善肝功能异常。可用于治疗湿疹、皮肤炎、斑秃
维胺酯胶囊,维胺酯胶囊（viaminate　Capsules），用于治疗各种痤疮，角化异常性皮肤病，对鱼鳞病，银屑病，苔癣类皮肤病，粘膜病及结蹄组织疾病等也有一定疗效。
藻酸双酯钠片,藻酸双酯钠片（Alginic Sodium Diester Tablets），商品名必索。主要用于缺血性脑血管病如脑血栓、脑栓塞、短暂性脑缺血发作及心血管疾病如高血压、高脂蛋白血症、冠心病、心绞痛等疾病的防治。也可用于治疗弥漫性血管内凝血、慢性肾小球肾炎及出血热等。
吉祥安坤丸,吉祥安坤丸，调经活血，补气安神，用于月经不调、产后发烧，心神不安，头昏头痛，腰膝无力，四肢浮肿、乳腺肿胀。
葫芦素片,葫芦素片，解毒清热、利湿退黄。用于湿热毒盛所致迁延性肝炎、慢性肝炎及原发性肝癌的辅助治疗。
中风回春胶囊,中风回春胶囊，商品名步长迈立通。活血化淤，舒筋通络。用于中风偏瘫，半身不遂，肢体麻木。适用于高血脂、高血粘、动脉硬化、供血不足、头昏头痛、眩晕耳鸣、视物不清、一过性晕厥、记忆力减退、失眠或嗜睡、情绪异常、老年性痴呆等。中风(脑梗塞、脑栓塞、脑出血后遗症等)、偏瘫、肢体麻木、关节僵硬、活动不便、口眼歪斜、舌强流涎、说话不清、伴头昏头晕、健忘等。冠心病：心慌、胸闷、气短、胸痛、心律不齐、心前区不适等。
红金消结胶囊,红金消结胶囊，彝医：补知凯扎诺，且凯色士，哈息黑。中医：舒肝理气，软坚散结，活血化瘀、消肿止痛，用于气滞血瘀所致乳腺小叶增生，子宫肌瘤，卵巢囊肿。
鼻通宁滴剂,鼻通宁滴剂，通利鼻窍。用于鼻塞不通。
蒲地蓝消炎口服液,蒲地蓝消炎口服液，清热解毒，抗炎消肿。用于疖肿、腮腺炎、咽炎、扁桃体炎等。
冠心生脉丸,冠心生脉丸，益气生津，活血通脉。用于心气不足，心阴虚弱起的心血瘀阴，心悸气短，胸闷作痛，自汗乏力，脉微结代；冠心病，心绞痛，心律不齐。
盐酸乙胺丁醇片,盐酸乙胺丁醇片（Ethambutol Hydrochloride Tablets），适用于与其他抗结核药联合治疗结核杆菌所致的肺结核。亦可用于结核性脑膜炎及非典型分枝杆菌感染的治疗。
伤科跌打丸,伤科跌打丸，活血散瘀，消肿止痛。用于跌打损伤，伤筋动骨，瘀血肿痛，腰岔气。
小儿智力糖浆,小儿智力糖浆（国家中药保护品种）
复方皂矾丸,复方皂矾丸，温肾健髓，益气养阴，生血止血。用于再生障碍性贫血，白细胞减少症，血小板减少症，骨髓增生异常综合征及放疗和化疗引起的骨髓损伤、白细胞减少属肾阳不足、气血两虚证者。
氟康唑片,氟康唑片（Fluconazole Tablets），商品名依利康、康锐、帅克风、莱抗、昊康。1．念珠菌病：用于治疗口咽部和食道念珠菌感染；播散性念珠菌病，包括腹膜炎、肺炎、尿路感染等；念珠菌外阴阴道炎。尚可用于骨髓移植患者接受细胞毒类药物或放射治疗时，预防念珠菌感染的发生。2．隐球菌病：用于治疗脑膜以外的新型隐球菌病；治疗隐球菌脑膜炎时，本品可作为两性霉素B联合氟胞嘧啶初治后的维持治疗药物。3．球孢子菌病。4．用于接受化疗、放疗和免疫抑制治疗患者的预防治疗。5．本品亦可替代伊曲康唑用于芽生菌病和组织胞浆菌病的治疗。
参芪降糖片,参芪降糖片
维生素C注射液,【药品名称】
注射用胸腺肽,注射用胸腺肽（Thymosin Alph-1 for Injection），商品名河山胸腺肽、大白、迪赛、凯雅、赛威、强力优、天龙康、百药新、京琳林、依纳斯、京特、京瑞林、迪美仙、麦路。用于治疗各种原发性或继发性T细胞缺陷病，某些自身免疫性疾病，各种细胞免疫功能低下的疾病及肿瘤的辅助治疗。包括：1各型重症肝炎、慢性活动性肝炎、慢性迁延性肝炎及肝硬化等；2带状疱疹、生殖器疱疹、尖锐湿疣等：3支气管炎、支气管哮喘、肺结核、预防上呼吸道感染等；4各种恶性肿瘤前期及化疗，放疗合用并用；5红斑狼疮、风湿性及类风湿性疾病、强直性脊柱炎、格林巴利综合征等；6再生障碍性贫血、白血病、血小板减少症等； 7病毒性角膜炎、病毒性结膜炎、过敏性鼻炎等；8老年性早衰、妇女更年期综合症等；9多发性疖肿及面部皮肤痤疮等，银屑病、扁平苔藓、鳞状细胞癌及上皮角化症等；10儿童先天性免疫缺陷症等
硫辛酸注射液,硫辛酸注射液（Thioctic acid injection），糖尿病周围神经病变引起的感觉异常。
癃闭舒胶囊,癃闭舒胶囊，温肾化气，清热通淋，活血化瘀，散结止痛。用于肾气不足，湿热瘀阻之癃闭所致尿频、尿急、尿赤、尿痛、尿细如线，小腹拘急疼痛，腰膝酸软等症；前列腺增生有以上症候者也可应用。
护肝宁片,护肝宁片，清热利湿，益肝化瘀，舒肝止痛;退黄、降低谷丙转氨酶。用于急性肝炎及慢性肝炎。
糠甾醇片,糠甾醇片（Rice Bran Sterol Tablets），商品名牙周宁。用于牙周病引起的牙龈出血,牙周脓肿等病症。
参南星口服液,[商标/商品名]：参南星口服液
注射用腺苷钴胺,注射用腺苷钴胺（Cobamamide for Injection），商品名千安倍、米乐卡、凯汀、注射用腺苷钴胺（星艾）、京仁注射用腺苷钴胺、福欣康林、星艾。主要用巨幼红细胞贫血，营养不良性贫血，妊娠期贫血，多发性神经炎，神经根炎，三叉神经痛，坐骨神经痛，神经麻痹，也可用于营养不良性产品以及放射线与药物引起的白细胞减少症。
红霉素软膏,红霉素软膏（Erythromycin Ointment），用于脓疱疮等化脓性皮肤病、小面积烧伤、溃疡面的感染和寻常痤疮。
黄体酮胶囊,黄体酮胶囊（Progesterone Capsules），商品名益玛欣。1、见黄体酮注射剂。2、口服大剂量也用于黄体酮不足所致疾患，如经前综合 征、排卵停止所致月经紊乱、良性乳腺病、绝经前和绝经期等。
鱼肝油乳,【化学名】
广东凉茶颗粒,广东凉茶颗粒，清热解暑，去湿生津。用于四时感冒，发热喉痛，湿热积滞，口干尿黄。
来氟米特片,来氟米特片（Leflunomide Tablets），商品名妥抒、爱若华、关平。1适用于成人类风湿关节炎，有改善病情作用。 2狼疮性肾炎。
云芝肝泰颗粒,云芝肝泰颗粒，免疫调节剂。主要用于治疗慢性活动性肝炎。
注射用鲑鱼降钙素,注射用鲑鱼降钙素（Salcatoninfor Injection），商品名盖瑞宁。1、禁用或不能使用常规雌激素与钙制剂联合治疗的早期和晚期绝经后骨质疏松症以及老年性骨质疏松症。 2、继发于乳腺癌、肺癌或肾癌、骨髓瘤和其他恶性肿瘤骨转移所致的高钙血症。 3、变形性骨炎。 4、甲状旁腺机能亢进症、缺乏活动或维生素D中毒（包括急性或慢性中毒）。 5、痛性神经营养不良症或Sudeck氏病。
潞党参口服液,潞党参口服液
注射用盐酸尼莫司汀,注射用盐酸尼莫司汀（Nimustine Hydrochloride for Injection），商品名宁得朗。缓解下述疾患的自觉症状及体征：脑颈部癌、脑瘤、肺癌、消化道癌（胃癌、结肠/直肠癌、食管癌），恶性淋巴瘤和白血病等。
三黄片,三黄片，清热解毒，泻火通便。用于三焦热盛，目赤肿痛，口鼻生疮，咽喉肿痛，牙龈出血，心烦口渴，尿赤便秘。
伊曲康唑胶囊,伊曲康唑胶囊（Itraconazole Capsules），商品名斯皮仁诺、易启康、美扶。1．妇科：外阴阴道念珠菌病。 2．皮肤科/眼科：花斑癣、皮肤真菌病、真菌性角膜炎和口腔念珠菌病。 3．由皮肤癣菌和/或酵母菌引起的甲真菌病。 4．系统性真菌感染：系统性曲霉病及念珠菌病、隐球菌病(包括隐球菌性脑膜炎)、组织胞浆菌病、孢子丝菌病、巴西副球孢子菌病、芽生菌病和其他各种少见的系统性或热带真菌病。
盐酸林可霉素胶囊,盐酸林可霉素胶囊（Lincomycin Hydrochloride Capsules），本品适用于敏感葡萄球菌属、链球菌属、肺炎链球菌及厌氧菌所致的呼吸道感染、皮肤软组织感染、女性生殖道感染和盆腔感染及腹腔感染等，后两种病种可根据情况单用本品或与其他抗菌药联合应用。此外有应用青霉素指征的患者，如患者对青霉素过敏或不宜用青霉素者本品可用作替代药物
丹参酮胶囊,丹参酮胶囊，抗菌消炎。用于痤疮，扁桃腺炎，疖。
加味藿香正气丸,加味藿香正气丸，解表化湿，理气和中。用于外感风寒，内伤湿滞，头痛昏重，胸膈痞闷，脘腹胀痛，呕吐泄泻。
盐酸丁咯地尔片,盐酸丁咯地尔片（Buflomedil Hydrochloride Tablets），商品名赛姆斯、意速、赛莱乐、意鲁顿、弗斯兰、麦道可兰。1、外周血管疾病：间歇性跛行、雷诺综合征、血栓闭塞性脉管炎等。2、慢性脑血管供血不足引起的症状：眩晕、耳鸣、智力减退、记忆力或注意力减退、定向障碍等。
腰痛宁胶囊,腰痛宁胶囊，消肿止痛，疏散寒邪，温经通络。用于腰椎间盘突出症、腰椎增生症、坐骨神经痛、腰肌劳损、腰肌纤维炎、慢性风湿性关节炎。
鲑鱼降钙素喷鼻剂,鲑鱼降钙素喷鼻剂（Salcatonin Nasal Spray），商品名金尔力。1.骨质疏松症;2.伴有骨质溶解和／或骨质减少的骨痛;3.由下列情况引起的高钙血症和高钙现象:（1）继发性乳房癌，肺癌或肾癌，骨髓瘤和其它恶性疾病的肿瘤性骨溶解。（2）甲状旁腺机能亢进，缺乏活动或维生素D中毒。4.神经营养不良症或Sudeck氏病;5.急性胰腺炎。
聚维酮碘栓,聚维酮碘栓（PovifoneIodine Suppositories），用于念珠菌性外阴阴道并细菌性阴道病及混合感染性阴道炎。也可用于痔疮
单唾液酸四己糖神经节苷脂钠注射液,单唾液酸四己糖神经节苷脂钠注射液（Monosialotetrahexosylganlioside sodium injection），商品名申捷。血管性或外伤性中枢神经系统损伤；帕金森病。
生血宁片,生血宁片，益气补血。生血宁片用于缺铁性贫血属气血两虚证者，症见：面部、肌肤萎黄或苍白，神疲乏力，眩晕耳鸣，心悸气短，舌淡或胖，脉弱等.主要用于治疗因铁摄入不足、铁需求量增加、铁吸收不良、慢性失血、手术后失血等引起的缺铁性贫血。
外伤如意膏,【方剂名称】外伤如意膏
双氯芬酸钠盐酸利多卡因注射液,双氯芬酸钠盐酸利多卡因注射液（Diclofenac　Sodium　and　Lidocaine　Hydrochloride　Injection），商品名雅兵、奥尔芬。严重炎症或退行性风湿病：类风湿性关节炎、强直性脊椎炎、关节炎、脊椎关节病、疼痛性脊椎综合症、关节外的风湿病。急性痛风发作。肾绞通和胆绞通。损伤或术后的疼痛、炎症和肿胀。
甲硝唑维B6片,甲硝唑维B6片（Metronidazole and Vitamin B6 Tablets），用于面部毛囊炎、各型酒糟鼻、痤疮、脂溢性皮炎。
注射用甲磺酸去铁胺,注射用甲磺酸去铁胺（Desferrioxamine Mesylate for Injection），商品名得斯芬。单一铁螯合物治疗慢性铁超负荷，急性铁中毒，透析病人铝超负荷，诊断铁或铝超负荷。
麝珠明目滴眼液,麝珠明目滴眼液，消翳明目，用于老年性初、中期白内障。
景志安神口服液,景志安神口服液，调理阴阳，益气安神。用于神经衰弱，症见失眠多梦，入夜烦热，眩晕头昏，记忆减退，神疲乏力。
注射用乙酰谷酰胺,注射用乙酰谷酰胺（Aceglutamide for Injection），商品名萨尼卡。用于脑外伤性昏迷、神经外科手术引起的昏迷、肝昏迷及偏瘫及高位截瘫、小儿麻痹后遗症、神经性头痛和腰痛等。
盐酸索他洛尔片,盐酸索他洛尔片（Sotalol　Hydrochloride　Tablets），商品名施太可、济迪。1．转复，预防室上性心动过速，特别是房室结折返性心动过速也可用于予激综合征伴室上性心动过速。 2．心房扑动，心房颤动。 3．各种室性心律失常，包括室性早搏，持续性及非持续性室性心动过速。 4．急性心肌梗死并发严重心律失常。
柏子养心丸,柏子养心丸，补气，养血，安神。用于心气虚寒，心悸易惊，失眠多梦，健忘。
盐酸特拉唑嗪胶囊,盐酸特拉唑嗪胶囊（Terazosin Hydrochloride Capsules），商品名均益、悦克、欧得曼、可派、曼欣琳。用于治疗良性前列腺增生症。盐酸特拉唑嗪也可用于治疗高血压，可单独使用或与其它抗高血压药物如利尿剂或b-肾上腺素能阻滞剂合用。
妇科止带胶囊,妇科止带胶囊，清热燥湿，收敛止带。用于慢性子宫颈炎、子宫内膜炎、阴道粘膜炎等引起的湿热型赤白带症。
盐酸莫雷西嗪片,盐酸莫雷西嗪片（Moracizine　Hydrochloride　Tablets），口服主要适用于室性心律失常，包括室性早搏及室性心动过速。
复方奎宁注射液,复方奎宁注射液（Compound　Quinine　Injection），主要用于疟疾的解热。
天麻胶囊,天麻胶囊，商品名克痹通络、今古活。祛风除湿，舒筋通络，活血止痛。用于用于风湿瘀阻，肢体拘挛，手足麻木，腰腿酸痛。
胞磷胆碱钠片,胞磷胆碱钠片（Citicoline Sodium Tablets），商品名欣可来。用于急性颅脑外伤和脑术术后意识障碍。
注射用转移因子,注射用转移因子（Transfer Factor for Injection），商品名金蓓、悦康佳、天龙欣合、谱安尼、维米欣。1.用于治疗某些抗生素难以控制的病毒性或真菌性感染疾病(如带状疱疹、流行性乙型脑炎、白念珠菌感染、病毒性心肌炎等)。 2.用作恶性肿瘤的辅助治疗药(主要用于肺癌、鼻咽癌、乳腺癌、骨肉瘤等)。 3.用于免疫缺陷病(如湿疹、血小板减少、多次感染综合征及慢性皮肤粘膜真菌病)，对自体免疫性疾病也有一定治疗作用。
加替沙星滴眼液,分类：化学药品
烟酸片,烟酸片
脾氨肽口服冻干粉,脾氨肽口服冻干粉（Spleen Aminopeptide Oral Lyophilized Powder），商品名复可托。免疫体调节剂。用于治疗细胞免疫功能低下、免疫缺陷和自身免疫功能紊乱性疾病(反复呼吸道感染、支气管炎、肺炎、哮喘、重症带状疱疹及牛皮癣等);用于恶性肿瘤病人放、化疗及术后生活质量，降低各种原因引起的感冒、发烧或其它感染发生率。
复方血栓通片,[拼音名]：fufangxueshuantongpian
维生素E烟酸酯胶囊,维生素E烟酸酯胶囊（Vitamin E Nicotinicate Capsules），商品名威氏克、侨光维尔新。用于高血脂症及动脉粥样硬化的防治。
玄麦甘桔颗粒,玄麦甘桔颗粒，清热滋阴，祛痰利咽。用于阴虚火旺，虚火上浮，口鼻干燥，咽喉肿痛。
虎标万金油,虎标万金油（Tiger Balm），芳香通窍，祛风止痒，清凉辟秽。用于蚊叮虫咬，皮肤发痒，头痛鼻塞。
人胎盘组织液,人胎盘组织液（Human Placental Tissue Extract），本品主要用于治疗妇科、皮肤科一些慢性炎症；手术后粘连、疤痕孪缩以及气管炎等慢性病。
氢化泼尼松注射液,氢化泼尼松注射液，作用于糖代谢，减轻肌体组织对损害性刺激所产生的病理反应。用于阿狄森氏病、活动性风湿病、类风湿性关节炎、红斑性狠疮等胶原性疾患，严重的支气管哮喘、严重皮炎等过敏过敏性疾病，眼炎及急性白血病等，亦用于某些感染的综合治疗，本品也可作为某些抗癌药物的辅助药。
宫颈癌栓,【方剂名称】宫颈癌栓
注射用盐酸头孢替安,注射用盐酸头孢替安（Cefotiam Hydrochloride for Injection），商品名锋替新、复仙安。用于治疗敏感菌所致的感染，如肺炎、支气管炎、胆道感染、腹膜炎、尿路感染以及手术和外伤所致的感染和败血症等。
地高辛酏剂,地高辛酏剂（Digoxin Elixirs），（1）用于急性和慢性心功能不全。对于高血压、瓣膜病（重度单纯二类瓣狭窄或主动脉瓣狭窄者除外）、先天性心脏病所引起的心功能不全疗效良好,尤其适用于伴有快速心室率的心房颤动的心功能不全；对于肺源性心脏病、心肌严重缺血、活动性心肌炎及心肌外机械因素所致心功能不全疗效差；对继发于严重贫血、甲状腺功能低下及维生素B1缺乏症的心功能不全疗效差；（2）用于控制伴有快速心室率的心房颤动、心房扑动患者的心室率及室上性心动过速。
天麻头风灵片,[拼音名]：Tianma Toufengling Pian
吡嗪酰胺片,吡嗪酰胺片（Pyrazinamide Tablets），本品仅对分枝杆菌有效，与其他抗结核药（如链霉素、异烟肼、利福平及乙胺丁醇）联合用于治疗结核病。
肝复康丸,肝复康丸，收敛，益气，解毒，降谷丙转氨酶。用于急、慢性肝炎，早期肝硬化和肝功能不良。
川贝枇杷糖浆,川贝枇杷糖浆，清热宣肺，化痰止咳。用于风热犯肺、痰热内阻所致的咳嗽痰黄或咯痰不爽、咽喉肿痛、胸闷胀痛；感冒、支气管炎见上述证候者。
润肠通秘茶,润肠通秘茶，益气养血，润肠通便。用于气血两虚型，便秘患者的症状缓解。
清胃黄连丸,清胃黄连丸，清胃泻火，解毒消肿。用于口舌生疮，齿龈、咽喉肿痛。
氨茶碱缓释片,氨茶碱缓释片（Aminophylline Sustained-release Tablets），适用于支气管哮喘、喘息型支气管炎、阻塞性肺气肿等缓解喘息症状；也可用于心源性肺水肿引起的哮喘。
甲磺酸阿米三嗪萝巴新片,甲磺酸阿米三嗪萝巴新片（Almitrine Bismesylate Raubasine Tablets），商品名都可喜。治疗老年人认知和慢性感觉神经损害的有关症状（不包括阿尔茨海默病和其他类型的痴呆）；血管源性视觉损害和视野障碍的辅助治疗；血管源性听觉损害、眩晕和/或耳鸣的辅助治疗。
消炎利胆片,消炎利胆片，清热，祛湿，利胆。用于肝胆湿热引起的口苦，胁痛和急性胆囊炎，胆管炎。
荣发胶囊,荣发胶囊，肝肾亏虚、血虑风燥引起的脂溢性脱发、斑秃、发枯、头皮瘙、面色无华等症。
罗红霉素干混悬剂,罗红霉素干混悬剂（Roxithromycin for Suspension），商品名浦虹、泰罗。1.适应于敏感菌株引起的下列感染：(1)上呼吸道感染。(2)下呼吸道感染。(3)耳鼻喉感染。(4)生殖器感染(淋球菌感染除外)。(5)皮肤软组织感染。2.也可用于支原体肺炎、沙眼衣原体感染及军团病等。
阿莫西林克拉维酸钾分散片,【通用名】阿莫西林克拉维酸钾分散片
枸橼酸铋钾颗粒,枸橼酸铋钾颗粒（Bismuth Potassium Citrate Granules），商品名丽珠得乐。抗溃疡药。用于治疗胃溃疡、十二指肠溃疡、复合溃疡、多发溃疡及吻合口溃疡；慢性浅表性胃炎，以及伴有幽门螺旋杆菌感染时。
胶体果胶铋胶囊,胶体果胶铋胶囊（Colloidal Bismuth Pectin Capsules），商品名彼司谓。用于慢性胃炎及缓解胃酸过多引起的胃痛、胃灼热感(烧心)、反酸。
胎宝胶囊,胎宝胶囊，补气，养血，填精。用于身体虚弱，先天不足，气虚血亏，自汗、盗汗，产后体虚。
消食退热糖浆,消食退热糖浆，清热解毒，消食通便。用于小儿瘟疫时毒，高热不退，内兼食滞，大便不畅;小儿呼吸道、消化道急性感染。
醋酸甲萘氢醌片,醋酸甲萘氢醌片（Menadiol Diacetate Tablets），维生素类药。主要适用于维生素K缺乏所致的凝血障碍性疾病。如肠道吸收不良所致维生素K缺乏。各种原因所致的阻塞性黄疸、慢性溃疡性结肠炎、慢性胰腺炎和广泛小肠切除后肠道吸收功能减低；长期应用抗生素可导致体内维生素K缺乏，广谱抗生素或肠道灭菌药可杀灭或抑制正常肠道内的细菌群落，致使肠道内细菌合成的维生素减少；双香豆素等抗凝剂的分子结构与维生素K相似，在体内干扰其代谢，使环氧叶绿醌不能被还原成维生素K，使体内的维生素K不能发挥其作用，造成与维生素K缺乏相类似的后果。
二十九味能消散,拼音名：Ershijiuwei Nengxiao San
克痤隐酮乳膏,克痤隐酮乳膏，抑制皮脂腺分泌及痤疮杆菌生长。用于黑头、白头粉刺及脓疮型痤疮。
健脑胶囊,健脑胶囊（Jian nao capsules），健脑益肾，安眠补身。用于用脑过度，记忆衰退，神经衰弱，头晕目眩，惊悸失眠，心烦易倦，畏寒体虚，身亏腰痛及老年痴呆等症健脑益肾，安眠补身。用于用脑过度，记忆衰退，神经衰弱，头晕目眩，惊悸失眠，心烦易倦，畏寒体虚，身亏腰痛及老年痴呆等症
复方磺胺甲噁唑片,复方磺胺甲噁唑片（Compound Sulfamethoxazole Tablets），别名复方新诺明，为磺胺类抗菌药，是磺胺甲恶唑（SMZ）与甲氧苄啶（TMP）的复方制剂，对非产酶金黄色葡萄球菌、化脓性链球菌、肺炎链球菌、大肠埃希菌、克雷伯菌属、沙门菌属、变形杆菌属、摩根菌属、志贺菌属等肠杆菌科细菌、淋球菌、脑膜炎奈瑟菌、流感嗜血杆菌均具有良好抗菌作用，尤其对大肠埃希菌、流感嗜血杆菌、金黄色葡萄球菌的抗菌作用较SMZ单药明显增强。
新霉素氟轻松乳膏,新霉素氟轻松乳膏（Neomycin Sulfate and Fluocinonide Cream），用于过敏性皮炎，亚急性慢性湿疹，阴囊湿疹，皮肤瘙痒症和外阴瘙痒等。
氨苄西林胶囊,氨苄西林胶囊（Ampicillin Capsules），商品名安必仙、必仙素。用于敏感致病菌所致呼吸道感染、泌尿系统感染、消化道感染、耳鼻喉感染、皮肤、软组织感染。
阿苯达唑颗粒,阿苯达唑颗粒（Albendazol Granules），本品为广谱驱虫药，除用于治疗钩虫、蛔虫、鞭虫、蛲虫、旋毛虫等线虫病外，还可用于治疗囊虫和包虫病。
注射用硫酸链霉素,注射用硫酸链霉素（Streptomycin Sulfate for Injection），1．本品主要与其他抗结核药联合用于结核分枝杆菌所致各种结核病的初治病例，或其他敏感分枝杆菌感染。2．本品可单用于治疗土拉菌病，或与其他抗菌药物联合用于鼠疫、腹股沟肉芽肿、布鲁菌病、鼠咬热等的治疗。3．亦可与青霉素或氨苄西林联合治疗草绿色链球菌或肠球菌所致的心内膜炎。
维生素E软胶囊,维生素E-50胶丸（Vitamin E Soft Capsules），商品名维生素E软胶囊。增强人体免疫力，美容健肤，提高性功能。对延缓衰老、保持肌肤弹性，增强内脏器官功能、保持体力和精力具有显著的效果
阿胶补血膏,阿胶补血膏，滋阴补血，补中益气，健脾润肺。用于久病体弱，血亏目昏，虚痨咳嗽。
门冬氨酸鸟氨酸注射液,门冬氨酸鸟氨酸注射液（Hepa-Merz），商品名雅博司。因急、慢性肝病引发的血氨升高及治疗肝性脑病。
益气养血口服液,益气养血口服液，益气养血。用于气血不足所致的气短心悸、面色不华、体虚乏力。
小儿鼻炎片,小儿鼻炎片，用于小儿慢性鼻炎。
头孢氨苄甲氧苄啶胶囊,头孢氨苄甲氧苄啶胶囊（Compound Cefadroxil Capsules），商品名新达宝胶囊。用于耐青霉素的葡萄球菌、链球菌、肺炎球菌、大肠杆菌等的感染。
牛黄解毒片,牛黄解毒片，商品名平康、康祺。清热解毒。用于火热内盛，咽喉肿痛，牙龈肿痛，口舌生疮，目赤肿痛。
伤风停胶囊,伤风停胶囊，发散风寒。用于外感风寒，恶寒发热，头痛，鼻塞，鼻流清涕，肢体酸重，喉痒咳嗽，咳嗽痰清稀，及上呼吸道感染，感冒鼻炎等见上述症候者。
